Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel,DECODE_exposure,DCODE_seqid,DCODE_target_name,DCODE_target_full_name,DCODE_gene_name,DCODE_platform,DCODE_HGNC,DCODE_Approved symbol,DCODE_Approved name,DCODE_OMIM_Gene_ID,DCODE_Ensembl_gene_ID,DCODE_NCBI_Gene_ID,HGNC,Approved symbol,OMIM_Gene_ID,Ensembl_gene_ID,NCBI_Gene_ID,target_full_name
NTproBNP,NTproBNP:NTproBNP:Cardiometabolic,NTproBNP,0,0,0,0,0,OID20125,N-terminal prohormone of brain natriuretic peptide,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,N-terminal prohormone of brain natriuretic peptide
AMY1A_AMY1B_AMY1C,AMY1A_AMY1B_AMY1C:P0DUB6_P0DTE7_P0DTE8:Inflammation_II,P0DUB6_P0DTE7_P0DTE8,0,0,0,0,0,OID30707,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,Olink Explore,Inflammation_vII,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C
BOLA2_BOLA2B,BOLA2_BOLA2B:Q9H3K6:Cardiometabolic_II,Q9H3K6,0,0,0,0,0,OID30267,BolA-like protein 2,Olink Explore,Cardiometabolic_vII,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,BolA-like protein 2
CGB3_CGB5_CGB8,CGB3_CGB5_CGB8:P0DN86:Inflammation_II,P0DN86,0,0,0,0,0,OID30671,Choriogonadotropin subunit beta 3,Olink Explore,Inflammation_vII,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Choriogonadotropin subunit beta 3
CKMT1A_CKMT1B,CKMT1A_CKMT1B:P12532:Inflammation,P12532,0,0,0,0,0,OID20721,Neutrophil defensin 1,Olink Explore,Inflammation_vII,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Neutrophil defensin 1
DEFA1_DEFA1B,DEFA1_DEFA1B:P59665:Cardiometabolic,P59665,0,0,0,0,0,OID20344,Neutrophil defensin 1,Olink Explore,Cardiometabolic_vII,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Neutrophil defensin 1
DEFB103A_DEFB103B,DEFB103A_DEFB103B:P81534:Inflammation_II,P81534,0,0,0,0,0,OID30534,Beta-defensin 103,Olink Explore,Inflammation_vII,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Beta-defensin 103
DEFB104A_DEFB104B,DEFB104A_DEFB104B:Q8WTQ1:Neurology_II,Q8WTQ1,0,0,0,0,0,OID30849,Beta-defensin 104,Olink Explore,:Neurology_vII,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Beta-defensin 104
DEFB4A_DEFB4B,DEFB4A_DEFB4B:O15263:Oncology,O15263,0,0,0,0,0,OID21373,Beta-defensin 4A,Olink Explore,Oncology_vI,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Beta-defensin 4A
EBI3_IL27,EBI3_IL27:Q14213_Q8NEV9:Oncology,Q14213_Q8NEV9,0,0,0,0,0,OID21389,Interleukin-27,Olink Explore,Oncology_vI,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Interleukin-27
FUT3_FUT5,FUT3_FUT5:P21217_Q11128:Neurology,P21217_Q11128,0,0,0,0,0,OID21013,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5,Olink Explore,Neurology_vI,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5
IL12A_IL12B,IL12A_IL12B:P29459_P29460:Oncology,P29459_P29460,0,0,0,0,0,OID21327,Interleukin-12,Olink Explore,Oncology_vI,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Interleukin-12
LGALS7_LGALS7B,LGALS7_LGALS7B:P47929:Oncology,P47929,0,0,0,0,0,OID21406,Galectin-7,Olink Explore,Oncology_vI,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,Galectin-7
MICB_MICA,MICB_MICA:Q29980_Q29983:Inflammation,Q29980_Q29983,0,0,0,0,0,OID20593,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B,Olink Explore,Inflammation_vII,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B
A1BG,A1BG:P04217:Inflammation_II,P04217,5,A1BG,138670,ENSG00000121410,1,OID30771,Alpha-1B-glycoprotein,Olink Explore,Inflammation_v1,A1BG_16561_9,SeqId.16561-9,Alpha-1B-glycoprotein,Alpha-1B-glycoprotein,A1BG,SomaScan v4,5.0,A1BG,alpha-1-B glycoprotein,138670,ENSG00000121410,1.0,5,A1BG,138670,ENSG00000121410,1,Alpha-1B-glycoprotein
