Protein,uniprot,UKBB_PPP_exposure,DECODE_exposure,UKBB_PPP_platform,DCODE_platform,UKBB_PPP_panel,DCODE_seqid,UKBB_PPP_oid,HGNC,Approved symbol,OMIM_Gene_ID,Ensembl_gene_ID,NCBI_Gene_ID,target_full_name
NTproBNP,NTproBNP,NTproBNP:NTproBNP:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20125,0.0,0,0,0,0.0,N-terminal prohormone of brain natriuretic peptide
AMY1A_AMY1B_AMY1C,P0DUB6_P0DTE7_P0DTE8,AMY1A_AMY1B_AMY1C:P0DUB6_P0DTE7_P0DTE8:Inflammation_II,0,Olink Explore,0,Inflammation_vII,0,OID30707,0.0,0,0,0,0.0,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C
BOLA2_BOLA2B,Q9H3K6,BOLA2_BOLA2B:Q9H3K6:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_vII,0,OID30267,0.0,0,0,0,0.0,BolA-like protein 2
CGB3_CGB5_CGB8,P0DN86,CGB3_CGB5_CGB8:P0DN86:Inflammation_II,0,Olink Explore,0,Inflammation_vII,0,OID30671,0.0,0,0,0,0.0,Choriogonadotropin subunit beta 3
CKMT1A_CKMT1B,P12532,CKMT1A_CKMT1B:P12532:Inflammation,0,Olink Explore,0,Inflammation_vII,0,OID20721,0.0,0,0,0,0.0,Neutrophil defensin 1
DEFA1_DEFA1B,P59665,DEFA1_DEFA1B:P59665:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_vII,0,OID20344,0.0,0,0,0,0.0,Neutrophil defensin 1
DEFB103A_DEFB103B,P81534,DEFB103A_DEFB103B:P81534:Inflammation_II,0,Olink Explore,0,Inflammation_vII,0,OID30534,0.0,0,0,0,0.0,Beta-defensin 103
DEFB104A_DEFB104B,Q8WTQ1,DEFB104A_DEFB104B:Q8WTQ1:Neurology_II,0,Olink Explore,0,:Neurology_vII,0,OID30849,0.0,0,0,0,0.0,Beta-defensin 104
DEFB4A_DEFB4B,O15263,DEFB4A_DEFB4B:O15263:Oncology,0,Olink Explore,0,Oncology_vI,0,OID21373,0.0,0,0,0,0.0,Beta-defensin 4A
EBI3_IL27,Q14213_Q8NEV9,EBI3_IL27:Q14213_Q8NEV9:Oncology,0,Olink Explore,0,Oncology_vI,0,OID21389,0.0,0,0,0,0.0,Interleukin-27
FUT3_FUT5,P21217_Q11128,FUT3_FUT5:P21217_Q11128:Neurology,0,Olink Explore,0,Neurology_vI,0,OID21013,0.0,0,0,0,0.0,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5
IL12A_IL12B,P29459_P29460,IL12A_IL12B:P29459_P29460:Oncology,0,Olink Explore,0,Oncology_vI,0,OID21327,0.0,0,0,0,0.0,Interleukin-12
LGALS7_LGALS7B,P47929,LGALS7_LGALS7B:P47929:Oncology,0,Olink Explore,0,Oncology_vI,0,OID21406,0.0,0,0,0,0.0,Galectin-7
MICB_MICA,Q29980_Q29983,MICB_MICA:Q29980_Q29983:Inflammation,0,Olink Explore,0,Inflammation_vII,0,OID20593,0.0,0,0,0,0.0,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B
A1BG,P04217,A1BG:P04217:Inflammation_II,A1BG_16561_9,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.16561-9,OID30771,5,A1BG,138670,ENSG00000121410,1,Alpha-1B-glycoprotein
