0,Symbol,Sequence_ID,Chromosome/scaffold name,Transcript start (bp),Transcript end (bp),DecodePub_Protein(short name),DecodePub_Protein(full name),DecodePub_Gene,DecodePub_UniProt,DecodePub_Ensembl.Gene.ID,DecodePub_Entrez.Gene.ID,DecodePub_HGNC.ID
10000_28_CRYBB2_CRBB2.txt.gz,CRYBB2,10000_28,22,25212564.0,25231870.0,CRBB2,Beta-crystallin B2,CRYBB2,P43320,ENSG00000244752,1415,HGNC:2398
10001_7_RAF1_c_Raf.txt.gz,RAF1,10001_7,3,12582101.0,12664201.0,c-Raf,RAF proto-oncogene serine/threonine-protein kinase,RAF1,P04049,ENSG00000132155,5894,HGNC:9829
10003_15_ZNF41_ZNF41.txt.gz,ZNF41,10003_15,X,47445178.0,47483222.0,ZNF41,Zinc finger protein 41,ZNF41,P51814,ENSG00000147124,7592,HGNC:13107
10006_25_ELK1_ELK1.txt.gz,ELK1,10006_25,X,47635521.0,47650604.0,ELK1,ETS domain-containing protein Elk-1,ELK1,P19419,ENSG00000126767,2002,HGNC:3321
10008_43_GUCA1A_GUC1A.txt.gz,GUCA1A,10008_43,6,42173364.0,42181338.0,GUC1A,Guanylyl cyclase-activating protein 1,GUCA1A,P43080,ENSG00000048545,2978,HGNC:4678
10011_65_OCRL_OCRL.txt.gz,OCRL,10011_65,X,129539849.0,129592561.0,OCRL,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,ENSG00000122126,4952,HGNC:8108
10012_5_SPDEF_SPDEF.txt.gz,SPDEF,10012_5,6,34537802.0,34556333.0,SPDEF,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,ENSG00000124664,25803,HGNC:17257
10014_31_SNAI2_SLUG.txt.gz,SNAI2,10014_31,8,48917598.0,48921740.0,SLUG,Zinc finger protein SNAI2,SNAI2,O43623,ENSG00000019549,6591,HGNC:11094
10015_119_KCNAB2_KCAB2.txt.gz,KCNAB2,10015_119,1,5990927.0,6101193.0,KCAB2,Voltage-gated potassium channel subunit beta-2,KCNAB2,Q13303,ENSG00000069424,8514,HGNC:6229
10022_207_POLH_POLH.txt.gz,POLH,10022_207,6,43576185.0,43620523.0,POLH,DNA polymerase eta,POLH,Q9Y253,ENSG00000170734,5429,HGNC:9181
10023_32_VDR_VDR.txt.gz,VDR,10023_32,12,47841537.0,47943048.0,VDR,Vitamin D3 receptor,VDR,P11473,ENSG00000111424,7421,HGNC:12679
10024_44_HOGA1_HOGA1.txt.gz,HOGA1,10024_44,10,97584323.0,97612802.0,HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,ENSG00000241935,112817,HGNC:25155
10030_8_MUTYH_MutY_homolog.txt.gz,MUTYH,10030_8,1,45329163.0,45340893.0,MutY homolog,Adenine DNA glycosylase,MUTYH,Q9UIF7,ENSG00000132781,4595,HGNC:7527
10035_6_DUSP4_DUS4.txt.gz,DUSP4,10035_6,8,29333064.0,29350684.0,DUS4,Dual specificity protein phosphatase 4,DUSP4,Q13115,ENSG00000120875,1846,HGNC:3070
10036_201_ZHX3_ZHX3.txt.gz,ZHX3,10036_201,20,41178448.0,41317731.0,ZHX3,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,ENSG00000174306,23051,HGNC:15935
10037_98_SIGLEC12_SIG12.txt.gz,SIGLEC12,10037_98,19,51491227.0,51501800.0,SIG12,Sialic acid-binding Ig-like lectin 12,SIGLEC12,Q96PQ1,ENSG00000254521,89858,HGNC:15482
10040_63_TP63_P73L.txt.gz,TP63,10040_63,3,189631389.0,189897276.0,P73L,Tumor protein 63,TP63,Q9H3D4,ENSG00000073282,8626,HGNC:15979
10041_3_HNF4A_HNF4A.txt.gz,HNF4A,10041_3,20,44355699.0,44432845.0,HNF4A,Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,ENSG00000101076,3172,HGNC:5024
10042_8_SGK3_SGK3.txt.gz,SGK3,10042_8,8,66712734.0,66862022.0,SGK3,Serine/threonine-protein kinase Sgk3,SGK3,Q96BR1,ENSG00000104205,23678,HGNC:10812
10043_31_BRD4_BRD4.txt.gz,BRD4,10043_31,19,15235519.0,15332545.0,BRD4,Bromodomain-containing protein 4,BRD4,O60885,ENSG00000141867,23476,HGNC:13575
10044_12_WNT10A_WN10A.txt.gz,WNT10A,10044_12,2,218880852.0,218899581.0,WN10A,Protein Wnt-10a,WNT10A,Q9GZT5,ENSG00000135925,80326,HGNC:13829
10045_47_CUL3_CUL3.txt.gz,CUL3,10045_47,2,224470150.0,224585397.0,CUL3,Cullin-3,CUL3,Q13618,ENSG00000036257,8452,HGNC:2553
10046_55_BIRC2_cIAP_1.txt.gz,BIRC2,10046_55,11,102347211.0,102378670.0,cIAP-1,Baculoviral IAP repeat-containing protein 2,BIRC2,Q13490,ENSG00000110330,329,HGNC:590
10047_12_NCF2_NCF_2.txt.gz,NCF2,10047_12,1,183554461.0,183590905.0,NCF-2,Neutrophil cytosol factor 2,NCF2,P19878,ENSG00000116701,4688,HGNC:7661
10048_7_CBFB_PEBB.txt.gz,CBFB,10048_7,16,67028984.0,67101058.0,PEBB,Core-binding factor subunit beta,CBFB,Q13951,ENSG00000067955,865,HGNC:1539
10049_112_TERF1_TERF1.txt.gz,TERF1,10049_112,8,73008856.0,73048123.0,TERF1,Telomeric repeat-binding factor 1,TERF1,P54274,ENSG00000147601,7013,HGNC:11728
10053_5_ILK_ILK1.txt.gz,ILK,10053_5,11,6603708.0,6610874.0,ILK1,Integrin-linked protein kinase,ILK,Q13418,ENSG00000166333,3611,HGNC:6040
10054_3_GAN_GAN.txt.gz,GAN,10054_3,16,81314944.0,81390809.0,GAN,Gigaxonin,GAN,Q9H2C0,ENSG00000127688,8139,HGNC:4137
10056_5_FOXM1_FOXM1.txt.gz,FOXM1,10056_5,12,2857680.0,2877174.0,FOXM1,Forkhead box protein M1,FOXM1,Q08050,ENSG00000111206,2305,HGNC:3818
10058_1_RAD23A_RD23A.txt.gz,RAD23A,10058_1,19,12945855.0,12953642.0,RD23A,UV excision repair protein RAD23 homolog A,RAD23A,P54725,ENSG00000179262,5886,HGNC:9812
10063_10_FANCL_FANCL.txt.gz,FANCL,10063_10,2,58159243.0,58241410.0,FANCL,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,ENSG00000115392,55120,HGNC:20748
10064_12_RBBP9_RBBP9.txt.gz,RBBP9,10064_12,20,18486540.0,18497225.0,RBBP9,Putative hydrolase RBBP9,RBBP9,O75884,ENSG00000089050,10741,HGNC:9892
10070_22_PLCG2_PLCG2.txt.gz,PLCG2,10070_22,16,81779279.0,81962685.0,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,P16885,ENSG00000197943,5336,HGNC:9066
10073_22_TDP1_TYDP1.txt.gz,TDP1,10073_22,14,89954939.0,90044764.0,TYDP1,Tyrosyl-DNA phosphodiesterase 1,TDP1,Q9NUW8,ENSG00000042088,55775,HGNC:18884
10074_128_BRD2_BRD2.txt.gz,BRD2,10074_128,6,32968594.0,32981505.0,BRD2,Bromodomain-containing protein 2,BRD2,P25440,ENSG00000234507,6046,HGNC:1103
10075_75_ACBD6_ACBD6.txt.gz,ACBD6,10075_75,1,180269653.0,180502954.0,ACBD6,Acyl-CoA-binding domain-containing protein 6,ACBD6,Q9BR61,ENSG00000135847,84320,HGNC:23339
10076_1_AP4M1_AP4M1.txt.gz,AP4M1,10076_1,7,100101549.0,100110345.0,AP4M1,AP-4 complex subunit mu-1,AP4M1,O00189,ENSG00000221838,9179,HGNC:574
10078_5_BAG3_BAG3.txt.gz,BAG3,10078_5,10,119651380.0,119677819.0,BAG3,BAG family molecular chaperone regulator 3,BAG3,O95817,ENSG00000151929,9531,HGNC:939
10080_9_EIF2B1_EI2BA.txt.gz,EIF2B1,10080_9,12,123620406.0,123633766.0,EI2BA,Translation initiation factor eIF-2B subunit alpha,EIF2B1,Q14232,ENSG00000111361,1967,HGNC:3257
10081_17_SATB2_SATB2.txt.gz,SATB2,10081_17,2,199269505.0,199471266.0,SATB2,DNA-binding protein SATB2,SATB2,Q9UPW6,ENSG00000119042,23314,HGNC:21637
10082_251_NEFL_NFL.txt.gz,NEFL,10082_251,8,24950955.0,24956721.0,NFL,Neurofilament light polypeptide,NEFL,P07196,,4747,HGNC:7739
10085_25_STAR_STAR.txt.gz,STAR,10085_25,8,38142700.0,38150992.0,STAR,"Steroidogenic acute regulatory protein, mitochondrial",STAR,P49675,ENSG00000147465,6770,HGNC:11359
10086_39_CBS_CBS.txt.gz,CBS,10086_39,21,43053191.0,43076943.0,CBS,Cystathionine beta-synthase,CBS,P35520,ENSG00000160200,875,HGNC:1550
10087_10_CRYAA_Alpha_crystallin_A_chain.txt.gz,CRYAA,10087_10,21,43169008.0,43172805.0,Alpha crystallin A chain,Alpha-crystallin A chain,CRYAA,P02489,ENSG00000160202,102724652,HGNC:2388
10088_37_APRT_APT.txt.gz,APRT,10088_37,16,88809339.0,88811937.0,APT,Adenine phosphoribosyltransferase,APRT,P07741,ENSG00000198931,353,HGNC:626
10089_7_ASMTL_ASML.txt.gz,ASMTL,10089_7,X,1403139.0,1453762.0,ASML,N-acetylserotonin O-methyltransferase-like protein,ASMTL,O95671,ENSG00000169093,8623,HGNC:751
10336_3_STUB1_CHIP.txt.gz,STUB1,10336_3,16,680224.0,682870.0,CHIP,E3 ubiquitin-protein ligase CHIP,STUB1,Q9UNE7,ENSG00000103266,10273,HGNC:11427
10339_48_ENO2_NSE.txt.gz,ENO2,10339_48,12,6913745.0,6923698.0,NSE,Gamma-enolase,ENO2,P09104,ENSG00000111674,2026,HGNC:3353
10342_55_PIAS4_PIAS4.txt.gz,PIAS4,10342_55,19,4007736.0,4039386.0,PIAS4,E3 SUMO-protein ligase PIAS4,PIAS4,Q8N2W9,ENSG00000105229,51588,HGNC:17002
10344_334_IL10RA_IL_10_Ra.txt.gz,IL10RA,10344_334,11,117986370.0,118003037.0,IL-10 Ra,Interleukin-10 receptor subunit alpha,IL10RA,Q13651,ENSG00000110324,3587,HGNC:5964
10346_5_STAT3_STAT3.txt.gz,STAT3,10346_5,17,42313324.0,42388540.0,STAT3,Signal transducer and activator of transcription 3,STAT3,P40763,ENSG00000168610,6774,HGNC:11364
10356_21_JUN_c_Jun.txt.gz,JUN,10356_21,1,58776845.0,58784048.0,c-Jun,Transcription factor AP-1,JUN,P05412,ENSG00000177606,3725,HGNC:6204
10361_25_OAS1_OAS1.txt.gz,OAS1,10361_25,12,112905856.0,112933219.0,OAS1,2'-5'-oligoadenylate synthase 1,OAS1,P00973,ENSG00000089127,4938,HGNC:8086
10362_35_MYC_c_Myc.txt.gz,MYC,10362_35,8,127735434.0,127742951.0,c-Myc,Myc proto-oncogene protein,MYC,P01106,ENSG00000136997,4609,HGNC:7553
10363_13_SMAD3_SMAD3.txt.gz,SMAD3,10363_13,15,67063763.0,67195173.0,SMAD3,Mothers against decapentaplegic homolog 3,SMAD3,P84022,ENSG00000166949,4088,HGNC:6769
10364_6_SMAD2_SMAD2.txt.gz,SMAD2,10364_6,18,47808957.0,47931146.0,SMAD2,Mothers against decapentaplegic homolog 2,SMAD2,Q15796,ENSG00000175387,4087,HGNC:6768
10366_11_PDGFRA_PDGFRA.txt.gz,PDGFRA,10366_11,4,54229280.0,54298245.0,PDGFRA,Platelet-derived growth factor receptor alpha,PDGFRA,P16234,ENSG00000134853,5156,HGNC:8803
10370_21_STAT1_STAT1.txt.gz,STAT1,10370_21,2,190908460.0,191020960.0,STAT1,Signal transducer and activator of transcription 1-alpha/beta,STAT1,P42224,ENSG00000115415,6772,HGNC:11362
10372_18_STAT6_STAT6.txt.gz,STAT6,10372_18,12,57095408.0,57132139.0,STAT6,Signal transducer and activator of transcription 6,STAT6,P42226,ENSG00000166888,6778,HGNC:11368
10390_21_ZNRF3_ZNRF3.txt.gz,ZNRF3,10390_21,22,28883572.0,29057488.0,ZNRF3,E3 ubiquitin-protein ligase ZNRF3,ZNRF3,Q9ULT6,ENSG00000183579,84133,HGNC:18126
10391_1_ANGPTL3_ANGL3.txt.gz,ANGPTL3,10391_1,1,62597520.0,62606313.0,ANGL3,Angiopoietin-related protein 3,ANGPTL3,Q9Y5C1,ENSG00000132855,27329,HGNC:491
10396_6_MCL1_Mcl_1.txt.gz,MCL1,10396_6,1,150560895.0,150579738.0,Mcl-1,Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,ENSG00000143384,4170,HGNC:6943
10418_36_STX12_STX12.txt.gz,STX12,10418_36,1,27773219.0,27824443.0,STX12,Syntaxin-12,STX12,Q86Y82,ENSG00000117758,23673,HGNC:11430
10419_1_SCARA5_SCAR5.txt.gz,SCARA5,10419_1,8,27869883.0,27992673.0,SCAR5,Scavenger receptor class A member 5,SCARA5,Q6ZMJ2,ENSG00000168079,286133,HGNC:28701
10424_31_NPDC1_NPDC1.txt.gz,NPDC1,10424_31,9,137039463.0,137046179.0,NPDC1,Neural proliferation differentiation and control protein 1,NPDC1,Q9NQX5,ENSG00000107281,56654,HGNC:7899
10425_3_B4GALT5_B4GT5.txt.gz,B4GALT5,10425_3,20,49632945.0,49713878.0,B4GT5,"Beta-1,4-galactosyltransferase 5",B4GALT5,O43286,ENSG00000158470,9334,HGNC:928
10426_21_GOSR2_GOSR2.txt.gz,GOSR2,10426_21,17,46923075.0,46975524.0,GOSR2,Golgi SNAP receptor complex member 2,GOSR2,O14653,ENSG00000108433,9570,HGNC:4431
10428_1_KIR2DS2_KI2S2.txt.gz,KIR2DS2,10428_1,HSCHR19KIR_FH05_B_HAP_CTG3_1,37082.0,50989.0,KI2S2,Killer cell immunoglobulin-like receptor 2DS2,KIR2DS2,P43631,,100132285,HGNC:6334
10430_31_SLC3A2_4F2.txt.gz,SLC3A2,10430_31,11,62856004.0,62888880.0,4F2,4F2 cell-surface antigen heavy chain,SLC3A2,P08195,ENSG00000168003,6520,HGNC:11026
10432_3_KIAA1644_K1644.txt.gz,KIAA1644,10432_3,22,44243665.0,44312951.0,K1644,Uncharacterized protein KIAA1644,KIAA1644,Q3SXP7,ENSG00000138944,85352,HGNC:29335
10435_2_AGA_ASPG.txt.gz,AGA,10435_2,4,177430774.0,177442437.0,ASPG,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,AGA,P20933,ENSG00000038002,175,HGNC:318
10438_19_CSF2RA_CSF2R.txt.gz,CSF2RA,10438_19,X,1268800.0,1310381.0,CSF2R,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,P15509,ENSG00000198223,1438,HGNC:2435
10440_26_CLMP_ACAM.txt.gz,CLMP,10440_26,11,123069872.0,123195248.0,ACAM,CXADR-like membrane protein,CLMP,Q9H6B4,ENSG00000166250,79827,HGNC:24039
10442_1_TMEM190_TM190.txt.gz,TMEM190,10442_1,19,55376826.0,55378246.0,TM190,Transmembrane protein 190,TMEM190,Q8WZ59,ENSG00000160472,147744,HGNC:29632
10445_20_APOM_ApoM.txt.gz,APOM,10445_20,6,31652416.0,31658210.0,ApoM,Apolipoprotein M,APOM,O95445,ENSG00000226215,55937,HGNC:13916
10447_18_PABPC3_PABP3.txt.gz,PABPC3,10447_18,13,25096136.0,25099254.0,PABP3,Polyadenylate-binding protein 3,PABPC3,Q9H361,ENSG00000151846,5042,HGNC:8556
10449_31_SHISA2_TMM46.txt.gz,SHISA2,10449_31,13,26044597.0,26052016.0,TMM46,Protein shisa-2 homolog,SHISA2,Q6UWI4,ENSG00000180730,387914,HGNC:20366
10451_11_NUCB1_NUCB1.txt.gz,NUCB1,10451_11,19,48900050.0,48923473.0,NUCB1,Nucleobindin-1,NUCB1,Q02818,ENSG00000104805,4924,HGNC:8043
10453_7_CEACAM20_CEA20.txt.gz,CEACAM20,10453_7,19,44501677.0,44529788.0,CEA20,Carcinoembryonic antigen-related cell adhesion molecule 20,CEACAM20,Q6UY09,,125931,HGNC:24879
10454_99_DNAJC16_DJC16.txt.gz,DNAJC16,10454_99,1,15526813.0,15592379.0,DJC16,DnaJ homolog subfamily C member 16,DNAJC16,Q9Y2G8,ENSG00000116138,23341,HGNC:29157
10455_196_IL31_IL_31.txt.gz,IL31,10455_196,12,122172029.0,122174221.0,IL-31,Interleukin-31,IL31,Q6EBC2,ENSG00000204671,386653,HGNC:19372
10462_14_INSL5_INSL5.txt.gz,INSL5,10462_14,1,66797740.0,66801276.0,INSL5,Insulin-like peptide INSL5,INSL5,Q9Y5Q6,ENSG00000172410,10022,HGNC:6088
10464_6_ANTXR1_ANTR1.txt.gz,ANTXR1,10464_6,2,69013176.0,69249327.0,ANTR1,Anthrax toxin receptor 1,ANTXR1,Q9H6X2,ENSG00000169604,84168,HGNC:21014
10485_56_MAGEA4_MAGE_4.txt.gz,MAGEA4,10485_56,X,151912495.0,151925171.0,MAGE-4,Melanoma-associated antigen 4,MAGEA4,P43358,ENSG00000147381,4103,HGNC:6802
10490_3_RPN1_RPN1.txt.gz,RPN1,10490_3,3,128619969.0,128681075.0,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,P04843,ENSG00000163902,6184,HGNC:10381
