FileLocation,filenames,Symbol,UniprotID,Kit,gene,Biomarker_TSS_Start,Biomarker_TSS_End,Chromosome_edit
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_CC2D1A:Q6P1N0:Neurology.tsv.gz,discovery_RS2_CC2D1A:Q6P1N0:Neurology.tsv.gz,CC2D1A,Q6P1N0,Neurology,CC2D1A,13906201,13930879,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_CLEC11A:Q9Y240:Neurology.tsv.gz,discovery_RS2_CLEC11A:Q9Y240:Neurology.tsv.gz,CLEC11A,Q9Y240,Neurology,CLEC11A,50723364,50725708,19
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ORM1:P02763:Inflammation_II.tsv.gz,discovery_RS2_ORM1:P02763:Inflammation_II.tsv.gz,ORM1,P02763,Inflammation_II,ORM1,114323098,114326479,9
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_THBS4:P35443:Cardiometabolic.tsv.gz,discovery_RS2_THBS4:P35443:Cardiometabolic.tsv.gz,THBS4,P35443,Cardiometabolic,THBS4,79991311,80083287,5
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_INPP5J:Q15735:Neurology_II.tsv.gz,discovery_RS2_INPP5J:Q15735:Neurology_II.tsv.gz,INPP5J,Q15735,Neurology_II,INPP5J,31122731,31134697,22
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_ATF4:P18848:Oncology_II.tsv.gz,discovery_RS2_ATF4:P18848:Oncology_II.tsv.gz,ATF4,P18848,Oncology_II,ATF4,39519695,39522683,22
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_MTR:Q99707:Cardiometabolic_II.tsv.gz,discovery_RS2_MTR:Q99707:Cardiometabolic_II.tsv.gz,MTR,Q99707,Cardiometabolic_II,MTR,236795260,236921278,1
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_PREB:Q9HCU5:Inflammation.tsv.gz,discovery_RS2_PREB:Q9HCU5:Inflammation.tsv.gz,PREB,Q9HCU5,Inflammation,PREB,27130756,27134666,2
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_CKB:P12277:Cardiometabolic_II.tsv.gz,discovery_RS2_CKB:P12277:Cardiometabolic_II.tsv.gz,CKB,P12277,Cardiometabolic_II,CKB,103519667,103522833,14
/edgehpc/dept/human_genetics/users/jjohn1/Discovery_Genewise_Merged/discovery_RS2_TADA3:O75528:Oncology_II.tsv.gz,discovery_RS2_TADA3:O75528:Oncology_II.tsv.gz,TADA3,O75528,Oncology_II,TADA3,9779967,9793011,3
