Filename,SomaScan_Symbol,SomaScan_Sequence_ID,Gene name,Biomart_Chromosome,Biomart_TranscriptStart,Biomart_TranscriptEnd
10000_28_CRYBB2_CRBB2.txt.gz,CRYBB2,10000_28,CRYBB2,22,25212564,25231870
10001_7_RAF1_c_Raf.txt.gz,RAF1,10001_7,RAF1,3,12582101,12664201
10003_15_ZNF41_ZNF41.txt.gz,ZNF41,10003_15,ZNF41,X,47445178,47483222
10006_25_ELK1_ELK1.txt.gz,ELK1,10006_25,ELK1,X,47635521,47650604
10008_43_GUCA1A_GUC1A.txt.gz,GUCA1A,10008_43,GUCA1A,6,42173364,42181338
10011_65_OCRL_OCRL.txt.gz,OCRL,10011_65,OCRL,X,129539849,129592561
10012_5_SPDEF_SPDEF.txt.gz,SPDEF,10012_5,SPDEF,6,34537802,34556333
10014_31_SNAI2_SLUG.txt.gz,SNAI2,10014_31,SNAI2,8,48917598,48921740
10015_119_KCNAB2_KCAB2.txt.gz,KCNAB2,10015_119,KCNAB2,1,5990927,6101193
10022_207_POLH_POLH.txt.gz,POLH,10022_207,POLH,6,43576185,43620523
10023_32_VDR_VDR.txt.gz,VDR,10023_32,VDR,12,47841537,47943048
10024_44_HOGA1_HOGA1.txt.gz,HOGA1,10024_44,HOGA1,10,97584323,97612802
10030_8_MUTYH_MutY_homolog.txt.gz,MUTYH,10030_8,MUTYH,1,45329163,45340893
10035_6_DUSP4_DUS4.txt.gz,DUSP4,10035_6,DUSP4,8,29333064,29350684
10036_201_ZHX3_ZHX3.txt.gz,ZHX3,10036_201,ZHX3,20,41178448,41317731
10037_98_SIGLEC12_SIG12.txt.gz,SIGLEC12,10037_98,SIGLEC12,19,51491227,51501800
10040_63_TP63_P73L.txt.gz,TP63,10040_63,TP63,3,189631389,189897276
10041_3_HNF4A_HNF4A.txt.gz,HNF4A,10041_3,HNF4A,20,44355699,44432845
10042_8_SGK3_SGK3.txt.gz,SGK3,10042_8,SGK3,8,66712734,66862022
10043_31_BRD4_BRD4.txt.gz,BRD4,10043_31,BRD4,19,15235519,15332545
10044_12_WNT10A_WN10A.txt.gz,WNT10A,10044_12,WNT10A,2,218880852,218899581
10045_47_CUL3_CUL3.txt.gz,CUL3,10045_47,CUL3,2,224470150,224585397
10046_55_BIRC2_cIAP_1.txt.gz,BIRC2,10046_55,BIRC2,11,102347211,102378670
10047_12_NCF2_NCF_2.txt.gz,NCF2,10047_12,NCF2,1,183554461,183590905
10048_7_CBFB_PEBB.txt.gz,CBFB,10048_7,CBFB,16,67028984,67101058
10049_112_TERF1_TERF1.txt.gz,TERF1,10049_112,TERF1,8,73008856,73048123
10053_5_ILK_ILK1.txt.gz,ILK,10053_5,ILK,11,6603708,6610874
10054_3_GAN_GAN.txt.gz,GAN,10054_3,GAN,16,81314944,81390809
10056_5_FOXM1_FOXM1.txt.gz,FOXM1,10056_5,FOXM1,12,2857680,2877174
10058_1_RAD23A_RD23A.txt.gz,RAD23A,10058_1,RAD23A,19,12945855,12953642
10063_10_FANCL_FANCL.txt.gz,FANCL,10063_10,FANCL,2,58159243,58241410
10064_12_RBBP9_RBBP9.txt.gz,RBBP9,10064_12,RBBP9,20,18486540,18497225
10070_22_PLCG2_PLCG2.txt.gz,PLCG2,10070_22,PLCG2,16,81779279,81962685
10073_22_TDP1_TYDP1.txt.gz,TDP1,10073_22,TDP1,14,89954939,90044764
10074_128_BRD2_BRD2.txt.gz,BRD2,10074_128,BRD2,6,32968594,32981505
10075_75_ACBD6_ACBD6.txt.gz,ACBD6,10075_75,ACBD6,1,180269653,180502954
10076_1_AP4M1_AP4M1.txt.gz,AP4M1,10076_1,AP4M1,7,100101549,100110345
10078_5_BAG3_BAG3.txt.gz,BAG3,10078_5,BAG3,10,119651380,119677819
10080_9_EIF2B1_EI2BA.txt.gz,EIF2B1,10080_9,EIF2B1,12,123620406,123633766
10081_17_SATB2_SATB2.txt.gz,SATB2,10081_17,SATB2,2,199269505,199471266
10082_251_NEFL_NFL.txt.gz,NEFL,10082_251,NEFL,8,24950955,24956721
10085_25_STAR_STAR.txt.gz,STAR,10085_25,STAR,8,38142700,38150992
10086_39_CBS_CBS.txt.gz,CBS,10086_39,CBS,21,43053191,43076943
10087_10_CRYAA_Alpha_crystallin_A_chain.txt.gz,CRYAA,10087_10,CRYAA,21,43169008,43172805
10088_37_APRT_APT.txt.gz,APRT,10088_37,APRT,16,88809339,88811937
10089_7_ASMTL_ASML.txt.gz,ASMTL,10089_7,ASMTL,X,1403139,1453762
10336_3_STUB1_CHIP.txt.gz,STUB1,10336_3,STUB1,16,680224,682870
10339_48_ENO2_NSE.txt.gz,ENO2,10339_48,ENO2,12,6913745,6923698
10342_55_PIAS4_PIAS4.txt.gz,PIAS4,10342_55,PIAS4,19,4007736,4039386
10344_334_IL10RA_IL_10_Ra.txt.gz,IL10RA,10344_334,IL10RA,11,117986370,118003037
10346_5_STAT3_STAT3.txt.gz,STAT3,10346_5,STAT3,17,42313324,42388540
10356_21_JUN_c_Jun.txt.gz,JUN,10356_21,JUN,1,58776845,58784048
10361_25_OAS1_OAS1.txt.gz,OAS1,10361_25,OAS1,12,112905856,112933219
10362_35_MYC_c_Myc.txt.gz,MYC,10362_35,MYC,8,127735434,127742951
10363_13_SMAD3_SMAD3.txt.gz,SMAD3,10363_13,SMAD3,15,67063763,67195173
10364_6_SMAD2_SMAD2.txt.gz,SMAD2,10364_6,SMAD2,18,47808957,47931146
10366_11_PDGFRA_PDGFRA.txt.gz,PDGFRA,10366_11,PDGFRA,4,54229280,54298245
10370_21_STAT1_STAT1.txt.gz,STAT1,10370_21,STAT1,2,190908460,191020960
10372_18_STAT6_STAT6.txt.gz,STAT6,10372_18,STAT6,12,57095408,57132139
10390_21_ZNRF3_ZNRF3.txt.gz,ZNRF3,10390_21,ZNRF3,22,28883572,29057488
10391_1_ANGPTL3_ANGL3.txt.gz,ANGPTL3,10391_1,ANGPTL3,1,62597520,62606313
10396_6_MCL1_Mcl_1.txt.gz,MCL1,10396_6,MCL1,1,150560895,150579738
10418_36_STX12_STX12.txt.gz,STX12,10418_36,STX12,1,27773219,27824443
10419_1_SCARA5_SCAR5.txt.gz,SCARA5,10419_1,SCARA5,8,27869883,27992673
10424_31_NPDC1_NPDC1.txt.gz,NPDC1,10424_31,NPDC1,9,137039463,137046179
10425_3_B4GALT5_B4GT5.txt.gz,B4GALT5,10425_3,B4GALT5,20,49632945,49713878
10426_21_GOSR2_GOSR2.txt.gz,GOSR2,10426_21,GOSR2,17,46923075,46975524
10428_1_KIR2DS2_KI2S2.txt.gz,KIR2DS2,10428_1,KIR2DS2,HSCHR19KIR_FH05_B_HAP_CTG3_1,37082,50989
10430_31_SLC3A2_4F2.txt.gz,SLC3A2,10430_31,SLC3A2,11,62856004,62888880
10432_3_KIAA1644_K1644.txt.gz,KIAA1644,10432_3,KIAA1644,22,44243665,44312951
10435_2_AGA_ASPG.txt.gz,AGA,10435_2,AGA,4,177430774,177442437
10438_19_CSF2RA_CSF2R.txt.gz,CSF2RA,10438_19,CSF2RA,X,1268800,1310381
10440_26_CLMP_ACAM.txt.gz,CLMP,10440_26,CLMP,11,123069872,123195248
10442_1_TMEM190_TM190.txt.gz,TMEM190,10442_1,TMEM190,19,55376826,55378246
10445_20_APOM_ApoM.txt.gz,APOM,10445_20,APOM,6,31652416,31658210
10447_18_PABPC3_PABP3.txt.gz,PABPC3,10447_18,PABPC3,13,25096136,25099254
10449_31_SHISA2_TMM46.txt.gz,SHISA2,10449_31,SHISA2,13,26044597,26052016
10451_11_NUCB1_NUCB1.txt.gz,NUCB1,10451_11,NUCB1,19,48900050,48923473
10453_7_CEACAM20_CEA20.txt.gz,CEACAM20,10453_7,CEACAM20,19,44501677,44529788
10454_99_DNAJC16_DJC16.txt.gz,DNAJC16,10454_99,DNAJC16,1,15526813,15592379
10455_196_IL31_IL_31.txt.gz,IL31,10455_196,IL31,12,122172029,122174221
10462_14_INSL5_INSL5.txt.gz,INSL5,10462_14,INSL5,1,66797740,66801276
10464_6_ANTXR1_ANTR1.txt.gz,ANTXR1,10464_6,ANTXR1,2,69013176,69249327
10485_56_MAGEA4_MAGE_4.txt.gz,MAGEA4,10485_56,MAGEA4,X,151912495,151925171
10490_3_RPN1_RPN1.txt.gz,RPN1,10490_3,RPN1,3,128619969,128681075
10496_11_CLCA1_CaCC.txt.gz,CLCA1,10496_11,CLCA1,1,86468368,86500259
10499_1_TMEM106A_T106A.txt.gz,TMEM106A,10499_1,TMEM106A,17,43211835,43220041
10506_53_PGRMC2_PGRC2.txt.gz,PGRMC2,10506_53,PGRMC2,4,128269237,128288829
10507_166_ACRV1_sperm_protein_10.txt.gz,ACRV1,10507_166,ACRV1,11,125671522,125680874
10510_62_SCIMP_SCIMP.txt.gz,SCIMP,10510_62,SCIMP,17,5208920,5234860
10511_10_COL6A3_Collagen_alpha_3_VI_.txt.gz,COL6A3,10511_10,COL6A3,2,237324003,237414328
10512_13_CSF2RB_IL3RB.txt.gz,CSF2RB,10512_13,CSF2RB,22,36913628,36940439
10513_13_KCNIP3_CSEN.txt.gz,KCNIP3,10513_13,KCNIP3,2,95297327,95386077
10514_5_PTGDS_PGD2_synthase.txt.gz,PTGDS,10514_5,PTGDS,9,136975092,136981742
10521_10_MXRA8_MXRA8.txt.gz,MXRA8,10521_10,MXRA8,1,1352689,1361777
10527_22_DHX9_DHX9.txt.gz,DHX9,10527_22,DHX9,1,182839347,182887982
10530_8_PSMB6_PSB6.txt.gz,PSMB6,10530_8,PSMB6,17,4796144,4798502
10531_18_NRAS_RASN.txt.gz,NRAS,10531_18,NRAS,1,114704469,114716771
10534_40_PARP1_PARP.txt.gz,PARP1,10534_40,PARP1,1,226360210,226408154
10535_25_COX6A2_CX6A2.txt.gz,COX6A2,10535_25,COX6A2,16,31427731,31428360
10539_30_CD99L2_C99L2.txt.gz,CD99L2,10539_30,CD99L2,X,150766336,150898816
10546_2_TSPEAR_TSEAR.txt.gz,TSPEAR,10546_2,TSPEAR,21,44497893,44711572
10550_37_BMPR1B_BMP_RIB.txt.gz,BMPR1B,10550_37,BMPR1B,4,94757955,95158448
10551_7_LAT_LAT.txt.gz,LAT,10551_7,LAT,16,28984826,28990784
10552_88_KLRC4_NKG2F.txt.gz,KLRC4,10552_88,KLRC4,12,10407384,10409757
10553_8_TOR1AIP2_TOIP2.txt.gz,TOR1AIP2,10553_8,TOR1AIP2,1,179839967,179877803
10554_23_GLB1_BGAL.txt.gz,GLB1,10554_23,GLB1,3,32996609,33097202
10557_6_TEX29_TEX29.txt.gz,TEX29,10557_6,TEX29,13,111316184,111344249
10558_26_PCDH9_PCDH9.txt.gz,PCDH9,10558_26,PCDH9,13,66302834,67230445
10560_1_ITM2C_ITM2C.txt.gz,ITM2C,10560_1,ITM2C,2,230864639,230879248
10561_5_PGLYRP3_PGRP_I_alpha.txt.gz,PGLYRP3,10561_5,PGLYRP3,1,153297116,153312952
10562_42_NETO2_NETO2.txt.gz,NETO2,10562_42,NETO2,16,47077703,47143945
10563_13_LYSMD3_LYSM3.txt.gz,LYSMD3,10563_13,LYSMD3,5,90515611,90529584
10565_19_SLITRK3_SLIK3.txt.gz,SLITRK3,10565_19,SLITRK3,3,165186720,165197109
10569_28_SCGB1A1_Urinary_protein_1.txt.gz,MFAP2,10569_28,SCGB1A1,1,16974502,16980632
10571_14_MGAT1_MGAT1.txt.gz,MGAT1,10571_14,MGAT1,5,180784780,180815652
10572_65_CST8_CST8.txt.gz,CST8,10572_65,CST8,20,23491101,23496010
10574_10_AXL_AXL.txt.gz,B2M,10574_10,AXL,15,44711358,44718851
10575_31_PUF60_PUF60.txt.gz,PUF60,10575_31,PUF60,8,143816344,143830709
10580_14_SFTA2_SFTA2.txt.gz,SFTA2,10580_14,SFTA2,6,30931353,30955636
10582_36_POMK_SG196.txt.gz,POMK,10582_36,POMK,8,43093498,43131180
10583_1_TMEM108_TM108.txt.gz,TMEM108,10583_1,TMEM108,3,133038391,133397775
10584_7_NDUFS4_NDUS4.txt.gz,NDUFS4,10584_7,NDUFS4,5,53560633,53683338
10588_39_ST3GAL5_SIAT9.txt.gz,ST3GAL5,10588_39,ST3GAL5,2,85837120,85905199
10589_7_RAET1L_RET1L.txt.gz,RAET1L,10589_7,RAET1L,6,150018334,150025532
10600_24_CLGN_CLGN.txt.gz,CLGN,10600_24,CLGN,4,140388453,140427661
10603_1_HTN3_HIS3.txt.gz,HTN3,10603_1,HTN3,4,70028455,70036538
10605_22_APMAP_APMAP.txt.gz,APMAP,10605_22,APMAP,20,24962925,24992751
10606_34_TOR1AIP1_TOIP1.txt.gz,TOR1AIP1,10606_34,TOR1AIP1,1,179882042,179920077
10608_9_HTN1_HIS1.txt.gz,HTN1,10608_9,HTN1,4,70050438,70058848
10612_18_PLOD3_PLOD3.txt.gz,PLOD3,10612_18,PLOD3,7,101205977,101218420
10613_33_CASC4_CASC4.txt.gz,CASC4,10613_33,CASC4,15,44288719,44415758
10615_18_MPZ_MYP0.txt.gz,MPZ,10615_18,MPZ,1,161304735,161309968
10616_67_PODXL2_PDXL2.txt.gz,PODXL2,10616_67,PODXL2,3,127629185,127672802
10618_190_LRP2_megalin.txt.gz,LRP2,10618_190,LRP2,2,169127109,169362534
10620_21_MSMB_PSP_94.txt.gz,MSMB,10620_21,MSMB,10,46033307,46048180
10621_26_PRR16_PRR16.txt.gz,PRR16,10621_26,PRR16,5,120464300,120687332
10623_19_MUC1_MUC1.txt.gz,MUC1,10623_19,MUC1,1,155185824,155192916
10624_45_SPINK13_ISK13.txt.gz,SPINK13,10624_45,SPINK13,5,148268180,148286255
10627_87_APLP2_APLP2.txt.gz,APLP2,10627_87,APLP2,11,130068147,130144811
10630_5_HTATIP2_HTAI2.txt.gz,HTATIP2,10630_5,HTATIP2,11,20363685,20383782
10637_50_KIAA1324_K1324.txt.gz,KIAA1324,10637_50,KIAA1324,1,109113679,109206781
10638_1_TINF2_TINF2.txt.gz,TINF2,10638_1,TINF2,14,24238286,24242663
10643_16_OLFM3_NOE3.txt.gz,OLFM3,10643_16,OLFM3,1,101802560,101996926
10647_18_ASCC1_ASCC1.txt.gz,ASCC1,10647_18,ASCC1,10,72096032,72217134
10663_42_INSIG1_INSI1.txt.gz,INSIG1,10663_42,INSIG1,7,155297776,155310235
10666_7_GNPTG_GNPTG.txt.gz,GNPTG,10666_7,GNPTG,16,1351931,1365737
10667_78_C1orf185_CA185.txt.gz,C1orf185,10667_78,C1orf185,1,51102221,51148086
10668_5_STX4_STX4.txt.gz,STX4,10668_5,STX4,16,31032889,31042975
10672_75_SFTPB_SP_B.txt.gz,SFTPB,10672_75,SFTPB,2,85657314,85668741
10675_223_TMX2_TMX2.txt.gz,TMX2,10675_223,TMX2,11,57712593,57740973
10677_9_NDUFB4_NDUB4.txt.gz,NDUFB4,10677_9,NDUFB4,3,120596328,120602507
10693_43_KLRG2_KLRG2.txt.gz,KLRG2,10693_43,KLRG2,7,139452690,139483673
10695_12_WFDC10B_WF10B.txt.gz,WFDC10B,10695_12,WFDC10B,20,45684651,45705019
10699_52_LRP1_LRP1.txt.gz,LRP1,10699_52,LRP1,12,57128483,57213361
10700_10_IGSF11_IGS11.txt.gz,IGSF11,10700_10,IGSF11,3,118900557,119146068
10702_1_COL28A1_COSA1.txt.gz,COL28A1,10702_1,COL28A1,7,7356203,7535873
10703_203_SUDS3_SDS3.txt.gz,SUDS3,10703_203,SUDS3,12,118376555,118418033
10704_91_LRMP_LRMP.txt.gz,LRMP,10704_91,LRMP,12,25004342,25108335
10705_14_ST6GALNAC3_SIA7C.txt.gz,ST6GALNAC3,10705_14,ST6GALNAC3,1,76074746,76634603
10708_3_GNRH2_GON2.txt.gz,GNRH2,10708_3,GNRH2,20,3043622,3045747
10710_23_ZPBP2_ZPBP2.txt.gz,ZPBP2,10710_23,ZPBP2,17,39868202,39877896
10713_151_CD300LB_CLM7.txt.gz,CD300LB,10713_151,CD300LB,17,74521174,74531475
10714_7_ACE_ACE.txt.gz,ACE,10714_7,ACE,17,63477061,63498380
10716_35_PSMD5_PSMD5.txt.gz,PSMD5,10716_35,PSMD5,9,120815496,120842951
