"gene","Biomarker_TSS_Start","Biomarker_TSS_End","Chromosome_edit"
"NPPB","11857464","11858945","1"
"TNNI3","55151767","55157773","19"
"HNRNPK","83968083","83980631","9"
"CEBPB","50190830","50192668","20"
"VIM","17228241","17237593","10"
"CHEK2","28687743","28742422","22"
"CRHR1","45784277","45847447","17"
"TSLP","111070062","111078026","5"
"MFAP3","154038959","154220478","5"
"TCL1B","95686426","95692628","14"
"DUOX2","45092650","45114172","15"
"CTF1","30896614","30903547","16"
"AKR1C4","5195462","5218949","10"
"HEBP1","12974870","13000265","12"
"SERPINB5","63476958","63505085","18"
"HK2","74834127","74893359","2"
"GRK5","119207571","119459745","10"
"VSTM2L","37903111","37945350","20"
"TIA1","70209444","70248660","2"
"CNPY2","56309842","56316119","12"
"CRX","47819779","47843330","19"
"VAMP5","85584431","85593406","2"
"SUSD1","112040783","112175297","9"
"RCOR1","102592649","102730561","14"
"TNF","31557707","31654641","6"
"CA5A","87881546","87936580","16"
"FABP6","160187367","160238735","5"
"STK11","1177558","1228431","19"
"TSPAN1","46175073","46185962","1"
"ACTA2","88935074","88991339","10"
"MTPN","135926760","135977359","7"
"EDIL3","83940554","84384880","5"
"ZBTB17","15941869","15976132","1"
"PTN","137227341","137343774","7"
"CEP43","166999174","167052718","6"
"IRAG2","25004342","25108335","12"
"COMT","19941371","19969975","22"
"MMP7","102520508","102530750","11"
"PON2","95404862","95435329","7"
"ADAMTS16","5140330","5320304","5"
"GP2","20309574","20327808","16"
"WASF1","110099819","110180004","6"
"MPHOSPH8","19633659","19673441","13"
"DNAJB8","128462437","128466968","3"
"SLITRK6","85792790","85806683","13"
"GPR37","124743885","124765792","7"
"GZMH","24606480","24609699","14"
"GYS1","48968130","48993310","19"
"THPO","184371935","184381968","3"
"CLEC1A","10069554","10111627","12"
"ENTPD6","25195693","25228075","20"
"IL6","22725884","22732002","7"
"CEACAM8","42580243","42595055","19"
"S100P","6693878","6697170","4"
"ENTPD5","73958010","74019399","14"
"ACE2","15494566","15607236","X"
"DCN","91140484","91183217","12"
"GLO1","38675925","38703145","6"
"PAG1","80967810","81112068","8"
"ADAM15","155050566","155062775","1"
"USP8","50424380","50514421","15"
"BMP6","7726099","7881728","6"
"ITGB1BP2","71301750","71305371","X"
"CTSH","78921058","78949574","15"
"BAG6","31621198","31728984","6"
"MSTN","190055700","190062729","2"
"BOC","113211003","113287459","3"
"ADH4","99123657","99157792","4"
"CLTA","36190856","36304781","9"
"EPHX2","27490781","27545564","8"
"TP53INP1","94925972","94949378","8"
"CCL27","34661880","34664048","9"
"AK1","127866486","127877675","9"
"ANXA4","69644425","69827112","2"
"ACOX1","75941507","75979177","17"
"NTproBNP","11857464","11858945","1"
"CLC","39731255","39738029","19"
"CNST","246566444","246668595","1"
"LEPR","65420652","65641559","1"
"TSHB","115029826","115034302","1"
"S100A11","152032506","152047907","1"
"VSIR","71747556","71773520","10"
"PCDH17","57631744","57729311","13"
"PDGFRA","54229280","54298245","4"
"CDH17","94127162","94217303","8"
"SNX9","157700387","157945077","6"
"NTRK2","84668375","85095751","9"
"ACY1","51983340","51989197","3"
"DOK2","21908873","21913690","8"
"AGXT","240868824","240880502","2"
"STK4","44966494","45080021","20"
"TGM2","38127385","38166578","20"
"DPP7","137110542","137118309","9"
"PLIN3","4838341","4867694","19"
"PLPBP","37762595","37779768","8"
"ICAM5","10289952","10296778","19"
"PRKAR1A","68511780","68551319","17"
"IL6ST","55935095","55995022","5"
"DCTPP1","30423615","30430030","16"
"PM20D1","205828025","205850132","1"
"LACTB2","70635318","70669185","8"
"FADD","70203296","70207390","11"
"CGREF1","27098889","27119128","2"
"CXCL8","73740519","73743716","4"
"LGALS1","37675636","37679802","22"
"IGFBPL1","38406528","38424454","9"
"MNDA","158831351","158849506","1"
"CDH6","31193686","31329146","5"
"IL19","206770764","206842981","1"
"ACAN","88803436","88875353","15"
"PLXNB3","153764196","153779346","X"
"TYRO3","41557675","41583589","15"
"EIF4EBP1","38030534","38060365","8"
"PDCD6","271621","314974","5"
"APLP1","35867899","35879792","19"
"CLEC5A","141927357","141947007","7"
"GSTA1","52791371","52803860","6"
"IGSF8","160091340","160098943","1"
"MEP1B","32185069","32220404","18"
"SDC1","20200797","20225433","2"
"CDH2","27932879","28177946","18"
"MCFD2","46901870","46941855","2"
"FCRL1","157794403","157820120","1"
"GPNMB","23235967","23275108","7"
"QDPR","17460261","17512206","4"
"GHRL","10285666","10292947","3"
"PPP1R2","195514428","195543386","3"
"CD2AP","47477789","47627263","6"
"NADK","1751232","1780457","1"
"CBLIF","59829273","59845499","11"
"TINAGL1","31576485","31587686","1"
"CANT1","78991716","79009867","17"
"SSC4D","76389334","76409697","7"
"OLR1","10158301","10172138","12"
"DIABLO","122207663","122227456","12"
"LRP11","149818757","149864359","6"
"SEMA3F","50155045","50189075","3"
"LEP","128241278","128257629","7"
"LPL","19901717","19967259","8"
"ADGRG2","18989307","19122637","X"
"SIGLEC7","51142299","51153526","19"
"NPTXR","38818452","38844028","22"
"GRAP2","39901084","39973721","22"
"CDHR5","616577","626336","11"
"THOP1","2785503","2815807","19"
"GLRX","95751319","95822726","5"
"KITLG","88492793","88580851","12"
"PILRB","100352176","100367831","7"
"CLUL1","596988","650334","18"
"AHCY","34280268","34311802","20"
"FABP2","119317250","119322138","4"
"REN","204154819","204190324","1"
"GDF2","47322454","47327588","10"
"RNASE3","20891385","20892348","14"
"SOST","43753738","43758791","17"
"NPDC1","137039463","137046179","9"
"CD69","9752486","9760901","12"
"CXCL5","73995642","73998677","4"
"COL4A1","110148963","110307157","13"
"LILRA5","54307070","54327636","19"
"MARCO","118942194","118994660","2"
"ANGPTL1","178849535","178871077","1"
"PRSS27","2712419","2720551","16"
"SORT1","109309568","109397918","1"
"SFTPD","79937467","79982614","10"
"DDC","50458436","50565405","7"
"SDC4","45325288","45348424","20"
"HMOX1","35380361","35394214","22"
"SNAP23","42491233","42545356","15"
"SERPINA12","94487274","94517844","14"
"GH1","63917200","63918839","17"
"SPON2","1166932","1208962","4"
"NECTIN2","44846175","44889223","19"
"CHRDL2","74696429","74731426","11"
"ROR1","63774017","64181498","1"
"CA13","85220587","85284073","8"
"CCDC80","112596797","112649530","3"
"FBP1","94603133","94640249","9"
"CTSL","87724051","87731469","9"
"NRCAM","108147623","108456717","7"
"HSPB1","76302673","76304295","7"
"THBD","23045633","23049672","20"
"KYAT1","128832942","128882494","9"
"FAM3C","121348878","121396364","7"
"TYMP","50525752","50530032","22"
"PCSK9","55039447","55064852","1"
"IGFBP7","57030773","57110385","4"
"UMOD","20333051","20356301","16"
"PLTP","45898621","45912155","20"
"MFAP5","8637346","8662888","12"
"LDLR","11089462","11133820","19"
"CA4","60149942","60170899","17"
"EPHB4","100802565","100827523","7"
"CDH5","66366622","66404784","16"
"CES1","55799704","55833337","16"
"FABP4","81478419","81483236","8"
"IGFBP1","45888360","45893660","7"
"PLAT","42174718","42207709","8"
"ICAM2","64002594","64020634","17"
"ADAMTS13","133414358","133459550","9"
"IL1RL1","102311502","102352037","2"
"GDF15","18374731","18389176","19"
"PLA2G1B","120322115","120327779","12"
"NOTCH3","15159038","15200995","19"
"LTBP2","74498183","74612378","14"
"TGFBR3","91680343","91906335","1"
"VWF","5948877","6124770","12"
"PEAR1","156893698","156916429","1"
"REG3A","79157003","79159753","2"
"XG","2752040","2816500","X"
"ADGRE5","14380501","14408725","19"
"FUCA1","23845077","23868290","1"
"CD209","7739993","7747564","19"
"MB","35606764","35637951","22"
"DKK3","11956207","12009769","11"
"TNFRSF10C","23102921","23117445","8"
"REG1B","79085023","79088019","2"
"IL2RA","6010689","6062370","10"
"PDGFRB","150113839","150155872","5"
"MET","116672196","116798377","7"
"ESAM","124752583","124762290","11"
"CA3","85373436","85449040","8"
"TNFSF13B","108251240","108308484","13"
"ALCAM","105366909","105576900","3"
"PLA2G2A","19975431","19980416","1"
"MSMB","46033307","46048180","10"
"CTSB","8084702","8110299","8"
"ICAM3","10333776","10339661","19"
"DPT","168695468","168729206","1"
"CRTAC1","97865000","98030828","10"
"CPA1","130380339","130388114","7"
"SERPINA11","94442464","94452800","14"
"CXCL16","4733533","4739928","17"
"SEMA7A","74409289","74435802","15"
"LGALS3","55124110","55145423","14"
"MEGF9","120600811","120714470","9"
"CORO1A","30182827","30189076","16"
"ENG","127815013","127854658","9"
"ENPP2","119557086","119673453","8"
"CPB1","148791102","148860187","3"
"SELE","169722640","169764705","1"
"PAM","102753981","103029730","5"
"COL6A3","237324003","237414328","2"
"CST6","66012008","66013505","11"
"CSTB","43772511","43776330","21"
"DLK1","100725705","100738224","14"
"GUSB","65960684","65982215","7"
"SCARF1","1633858","1645747","17"
"CELA3A","22001657","22012542","1"
"CCN3","119416446","119424434","8"
"HYOU1","119044187","119057227","11"
"LILRB2","54273812","54281944","19"
"ST6GAL1","186930325","187078553","3"
"TIE1","43300982","43323108","1"
"SIRPA","1894167","1940592","20"
"CASP3","184627696","184650062","4"
"PTPRS","5158495","5340812","19"
"CNTN1","40692439","41072415","12"
"BPIFB1","33273480","33309871","20"
"AZU1","825097","832018","19"
"PTPRF","43525187","43623666","1"
"NOTCH1","136494433","136546048","9"
"CHIT1","203212827","203273641","1"
"PDGFA","497258","520296","7"
"ACP5","11574653","11579993","19"
"ITGB2","44885953","44931989","21"
"FAS","88953813","89029605","10"
"PLXNB2","50274979","50307646","22"
"GAS6","113820549","113864076","13"
"EGFR","55019017","55211628","7"
"QPCT","37342827","37373322","2"
"RNASET2","166922113","166957191","6"
"SPP1","87975667","87983532","4"
"LILRB1","54388712","54645767","19"
"LILRB5","54249421","54258245","19"
"IGFBP2","216632828","216664436","2"
"PI3","45174902","45176544","20"
"RETN","7669049","7670455","19"
"CCL15","35996440","36002080","17"
"PRTN3","840960","848175","19"
"FAP","162170684","162245151","2"
"PPIB","64155740","64163134","15"
"COL18A1","45405165","45513720","21"
"AMY2A","103617427","103625780","1"
"CCL16","35976493","35981528","17"
"COL1A1","50184101","50201632","17"
"BLMH","30248203","30292056","17"
"PRCP","82822936","82970584","11"
"PGLYRP1","46019153","46023053","19"
"CD59","33703010","33736479","11"
"AMY2B","103553815","103579534","1"
"TCN2","30607003","30627271","22"
"SERPINE1","101127104","101139247","7"
"MCAM","119308529","119321521","11"
"DEFA1_DEFA1B","6996733","6999198","8"
"VASN","4371848","4385487","16"
"ART3","76011184","76114048","4"
"CNDP1","74534500","74587212","18"
"IL18BP","71998613","72007315","11"
"F9","139530739","139563459","X"
"ANPEP","89784895","89815401","15"
"SSC5D","55488404","55519099","19"
"ITIH3","52794768","52808799","3"
"CDH1","68737292","68835537","16"
"NCAM1","112961247","113278436","11"
"LBP","38346482","38377013","20"
"OSMR","38845858","38945596","5"
"HYAL1","50299890","50312381","3"
"CTSD","1752752","1764573","11"
"TNC","115019575","115118207","9"
"CD163","7470811","7503893","12"
"SPARCL1","87473335","87531061","4"
"NID1","235975830","236065109","1"
"AXL","41219223","41261766","19"
"PRSS2","142760398","142835652","7"
"CTSZ","58985686","59008238","20"
"CHL1","196763","409417","3"
"C1QTNF1","79022814","79049788","17"
"THBS4","79991311","80083287","5"
"TFRC","196012511","196082153","3"
"KIT","54657267","54740783","4"
"TFF3","42311667","42315409","21"
"F7","113105788","113120685","13"
"RARRES2","150338317","150341662","7"
"APOM","31634594","31734489","6"
"TIMD4","156919292","156963226","5"
"ITGB1","32887273","33005792","10"
"CD55","207321519","207386804","1"
"CD14","140631728","140633700","5"
"SELP","169588849","169630193","1"
"CD46","207752037","207795513","1"
"GP1BA","4932277","4935023","17"
"FCN2","134880810","134887523","9"
"HSPG2","21822244","21937310","1"
"IL6R","154405193","154469450","1"
"SOD1","31659666","31668931","21"
"FCGR3B","161623196","161631963","1"
"TFPI","187464230","187565760","2"
"AOC3","42851184","42858130","17"
"NRP1","33177492","33336262","10"
"FCGR2A","161505430","161524013","1"
"LCN2","128149071","128153453","9"
"CR2","207453024","207489895","1"
"ADA2","17178790","17258235","22"
"CCL18","36064272","36072388","17"
"VCAM1","100719742","100739045","1"
"CD93","23079360","23086324","20"
"IGFBP3","45912245","45921874","7"
"CHI3L1","203178931","203186704","1"
"CST3","23626706","23638473","20"
"CCL14","35983288","35987036","17"
"PROC","127418427","127429242","2"
"ANG","20684177","20698971","14"
"FETUB","186635969","186653141","3"
"COMP","18782773","18791305","19"
"DPP4","161992245","162074394","2"
"ANGPTL3","62597520","62606313","1"
"PTGDS","136975092","136981742","9"
"CA1","85327608","85379014","8"
"C2","31879966","32022117","6"
"ICAM1","10271093","10286615","19"
"CCL5","35871491","35880793","17"
"IGFBP6","53097436","53102345","12"
"EFEMP1","55865967","55924139","2"
"REG1A","79120362","79123409","2"
"GGH","63014881","63039407","8"
"TGFBI","136028988","136063818","5"
"TIMP1","47582408","47586789","X"
"IL2","122451470","122456725","4"
"IL10RA","117986370","118003037","11"
"PAPPA","116153791","116402321","9"
"IL20RA","136999971","137045180","6"
"EIF5A","7306999","7315500","17"
"JUN","58776845","58784048","1"
"RAB37","74670578","74747335","17"
"IL4","132673986","132682678","5"
"IL1B","112829751","112836816","2"
"IL33","6215786","6257983","9"
"LILRB4","54414251","54678557","19"
"IL13","132656263","132661110","5"
"IL10","206767602","206774541","1"
"ARNT","150809713","150876708","1"
"TNFAIP8","119268692","119399688","5"
"LTO1","69653076","69675416","11"
"ACTN4","38647649","38731589","19"
"LAP3","17577198","17607972","4"
"AMBN","70592256","70607288","4"
"LRRN1","3799431","3849834","3"
"PREB","27130756","27134666","2"
"IL24","206897443","206904139","1"
"CEP164","117314557","117413266","11"
"NBN","89924515","90003228","8"
"FCRL3","157674321","157700769","1"
