Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel
NTproBNP,NTproBNP:NTproBNP:Cardiometabolic,NTproBNP,0,0,0,0,0,OID20125,N-terminal prohormone of brain natriuretic peptide,Olink Explore,Cardiometabolic_v1
AMY1A_AMY1B_AMY1C,AMY1A_AMY1B_AMY1C:P0DUB6_P0DTE7_P0DTE8:Inflammation_II,P0DUB6_P0DTE7_P0DTE8,0,0,0,0,0,OID30707,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,Olink Explore,Inflammation_vII
BOLA2_BOLA2B,BOLA2_BOLA2B:Q9H3K6:Cardiometabolic_II,Q9H3K6,0,0,0,0,0,OID30267,BolA-like protein 2,Olink Explore,Cardiometabolic_vII
CGB3_CGB5_CGB8,CGB3_CGB5_CGB8:P0DN86:Inflammation_II,P0DN86,0,0,0,0,0,OID30671,Choriogonadotropin subunit beta 3,Olink Explore,Inflammation_vII
CKMT1A_CKMT1B,CKMT1A_CKMT1B:P12532:Inflammation,P12532,0,0,0,0,0,OID20721,Neutrophil defensin 1,Olink Explore,Inflammation_vII
DEFA1_DEFA1B,DEFA1_DEFA1B:P59665:Cardiometabolic,P59665,0,0,0,0,0,OID20344,Neutrophil defensin 1,Olink Explore,Cardiometabolic_vII
DEFB103A_DEFB103B,DEFB103A_DEFB103B:P81534:Inflammation_II,P81534,0,0,0,0,0,OID30534,Beta-defensin 103,Olink Explore,Inflammation_vII
DEFB104A_DEFB104B,DEFB104A_DEFB104B:Q8WTQ1:Neurology_II,Q8WTQ1,0,0,0,0,0,OID30849,Beta-defensin 104,Olink Explore,:Neurology_vII
DEFB4A_DEFB4B,DEFB4A_DEFB4B:O15263:Oncology,O15263,0,0,0,0,0,OID21373,Beta-defensin 4A,Olink Explore,Oncology_vI
EBI3_IL27,EBI3_IL27:Q14213_Q8NEV9:Oncology,Q14213_Q8NEV9,0,0,0,0,0,OID21389,Interleukin-27,Olink Explore,Oncology_vI
FUT3_FUT5,FUT3_FUT5:P21217_Q11128:Neurology,P21217_Q11128,0,0,0,0,0,OID21013,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5,Olink Explore,Neurology_vI
IL12A_IL12B,IL12A_IL12B:P29459_P29460:Oncology,P29459_P29460,0,0,0,0,0,OID21327,Interleukin-12,Olink Explore,Oncology_vI
LGALS7_LGALS7B,LGALS7_LGALS7B:P47929:Oncology,P47929,0,0,0,0,0,OID21406,Galectin-7,Olink Explore,Oncology_vI
MICB_MICA,MICB_MICA:Q29980_Q29983:Inflammation,Q29980_Q29983,0,0,0,0,0,OID20593,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B,Olink Explore,Inflammation_vII
A1BG,A1BG:P04217:Inflammation_II,P04217,5,A1BG,138670,ENSG00000121410,1,OID30771,Alpha-1B-glycoprotein,Olink Explore,Inflammation_v1
SERPINA3,SERPINA3:P01011:Inflammation_II,P01011,16,SERPINA3,107280,ENSG00000196136,12,OID30786,Alpha-1-antichymotrypsin,Olink Explore,Inflammation_v1
ABCA2,ABCA2:Q9BZC7:Cardiometabolic_II,Q9BZC7,32,ABCA2,600047,ENSG00000107331,20,OID30146,ATP-binding cassette sub-family A member 2,Olink Explore,Cardiometabolic_v1
ABL1,ABL1:P00519:Oncology,P00519,76,ABL1,189980,ENSG00000097007,25,OID21280,Tyrosine-protein kinase ABL1,Olink Explore,Oncology_v1
ABO,ABO:P16442:Inflammation_II,P16442,79,ABO,110300,ENSG00000175164,28,OID30675,Histo-blood group ABO system transferase,Olink Explore,Inflammation_v1
AOC1,AOC1:P19801:Inflammation,P19801,80,AOC1,104610,ENSG00000002726,26,OID20452,Amiloride-sensitive amine oxidase [copper-containing],Olink Explore,Inflammation_v1
ACAA1,ACAA1:P09110:Oncology,P09110,82,ACAA1,604054,ENSG00000060971,30,OID21269,"3-ketoacyl-CoA thiolase, peroxisomal",Olink Explore,Oncology_v1
ACADM,ACADM:P11310:Oncology_II,P11310,89,ACADM,607008,ENSG00000117054,34,OID31277,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Olink Explore,Oncology_v1
ACADSB,ACADSB:P45954:Cardiometabolic_II,P45954,91,ACADSB,600301,ENSG00000196177,36,OID30356,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Olink Explore,Cardiometabolic_v1
ACHE,ACHE:P22303:Inflammation_II,P22303,108,ACHE,100740,ENSG00000087085,43,OID30585,Acetylcholinesterase,Olink Explore,Inflammation_v1
ACOX1,ACOX1:Q15067:Cardiometabolic,Q15067,119,ACOX1,609751,ENSG00000161533,51,OID20124,Peroxisomal acyl-coenzyme A oxidase 1,Olink Explore,Cardiometabolic_v1
ACP1,ACP1:P24666:Inflammation_II,P24666,122,ACP1,171500,ENSG00000143727,52,OID30524,Low molecular weight phosphotyrosine protein phosphatase,Olink Explore,Inflammation_v1
ACP5,ACP5:P13686:Cardiometabolic,P13686,124,ACP5,171640,ENSG00000102575,54,OID20314,Tartrate-resistant acid phosphatase type 5,Olink Explore,Cardiometabolic_v1
ACRV1,ACRV1:P26436:Inflammation_II,P26436,127,ACRV1,102525,ENSG00000134940,56,OID30513,Acrosomal protein SP-10,Olink Explore,Inflammation_v1
ACTA2,ACTA2:P62736:Cardiometabolic,P62736,130,ACTA2,102620,ENSG00000107796,59,OID20079,"Actin, aortic smooth muscle",Olink Explore,Cardiometabolic_v1
ACTN2,ACTN2:P35609:Cardiometabolic_II,P35609,164,ACTN2,102573,ENSG00000077522,88,OID30192,Alpha-actinin-2,Olink Explore,Cardiometabolic_v1
ACVRL1,ACVRL1:P37023:Neurology,P37023,175,ACVRL1,601284,ENSG00000139567,94,OID20999,Serine/threonine-protein kinase receptor R3,Olink Explore,Neurology_v1
ACY1,ACY1:Q03154:Cardiometabolic,Q03154,177,ACY1,104620,ENSG00000243989,95,OID20137,Aminoacylase-1,Olink Explore,Cardiometabolic_v1
ACYP1,ACYP1:P07311:Inflammation_II,P07311,179,ACYP1,600875,ENSG00000119640,97,OID30642,Acylphosphatase-1,Olink Explore,Inflammation_v1
ADA,ADA:P00813:Inflammation,P00813,186,ADA,608958,ENSG00000196839,100,OID20645,Adenosine deaminase,Olink Explore,Inflammation_v1
ADAM12,ADAM12:O43184:Inflammation_II,O43184,190,ADAM12,602714,ENSG00000148848,8038,OID30491,Disintegrin and metalloproteinase domain-containing protein 12,Olink Explore,Inflammation_v1
ADAM15,ADAM15:Q13444:Cardiometabolic,Q13444,193,ADAM15,605548,ENSG00000143537,8751,OID20109,Disintegrin and metalloproteinase domain-containing protein 15,Olink Explore,Cardiometabolic_v1
