Protein,DECODE_exposure,DCODE_seqid,uniprot,DCODE_target_name,DCODE_target_full_name,DCODE_gene_name,DCODE_platform,DCODE_HGNC,DCODE_Approved symbol,DCODE_Approved name,DCODE_OMIM_Gene_ID,DCODE_Ensembl_gene_ID,DCODE_NCBI_Gene_ID
PIK3CG,PIK3CG_3391_10,SeqId.3391-10,P48736,PK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",PIK3CG,SomaScan v4,8978,PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",601232,ENSG00000105851,5294
PILRA,PILRA_10816_150,SeqId.10816-150,Q9UKJ1,PILRA isoform FDF03-M14,Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14,PILRA,SomaScan v4,20396,PILRA,paired immunoglobin like type 2 receptor alpha,605341,ENSG00000085514,29992
PILRA,PILRA_6402_8,SeqId.6402-8,Q9UKJ1,PILRA isoform FDF03-deltaTM,Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-deltaTM,PILRA,SomaScan v4,20396,PILRA,paired immunoglobin like type 2 receptor alpha,605341,ENSG00000085514,29992
PIP,PIP_6060_2,SeqId.6060-2,P12273,PIP,Prolactin-inducible protein,PIP,SomaScan v4,8993,PIP,prolactin induced protein,176720,ENSG00000159763,5304
PKDCC,PKDCC_8664_36,SeqId.8664-36,Q504Y2,PKDCC,Extracellular tyrosine-protein kinase PKDCC,PKDCC,SomaScan v4,25123,PKDCC,"protein kinase domain containing, cytoplasmic",614150,ENSG00000162878,91461
PKLR,PKLR_15607_56,SeqId.15607-56,P30613,KPYR,Pyruvate kinase PKLR,PKLR,SomaScan v4,9020,PKLR,pyruvate kinase L/R,609712,ENSG00000143627,5313
PKP2,PKP2_14067_6,SeqId.14067-6,Q99959,PKP2,Plakophilin-2,PKP2,SomaScan v4,9024,PKP2,plakophilin 2,602861,ENSG00000057294,5318
PLA2G12B,PLA2G12B_9380_2,SeqId.9380-2,Q9BX93,sPLA(2)-XIII,Group XIIB secretory phospholipase A2-like protein,PLA2G12B,SomaScan v4,18555,PLA2G12B,phospholipase A2 group XIIB,611653,ENSG00000138308,84647
PLA2G2A,PLA2G2A_2692_74,SeqId.2692-74,P14555,NPS-PLA2,"Phospholipase A2, membrane associated",PLA2G2A,SomaScan v4,9031,PLA2G2A,phospholipase A2 group IIA,172411,ENSG00000188257,5320
PLA2G7,PLA2G7_5015_15,SeqId.5015-15,Q13093,PAFAH,Platelet-activating factor acetylhydrolase,PLA2G7,SomaScan v4,9040,PLA2G7,phospholipase A2 group VII,601690,ENSG00000146070,7941
